player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Damián Pizarro,Racing Club,DEL,2,4.789,5.179
Rodrigo Atencio,Independiente Rivadavia,DEL,19,5.104,5.115
Marcelo Estigarribia,Club Atlético Unión de Santa Fe,DEL,25,5.028,5.048
Gabriel Ávalos,CA Independiente,DEL,22,5.03,5.032
Ignacio Russo,Tigre,DEL,25,4.904,4.947
Fabricio Pérez,Estudiantes de La Plata,DEL,21,4.854,4.897
Miguel Merentiel,Boca Juniors,DEL,21,4.812,4.85
Lautaro Díaz,Racing Club,DEL,8,4.978,4.809
Guido Carrillo,Estudiantes de La Plata,DEL,20,4.473,4.723
Joaquín Freitas,River Plate,DEL,20,4.603,4.695
Alexis Cuello,San Lorenzo,DEL,25,4.697,4.68
Ivan Guaraz,Barracas Central,DEL,11,4.636,4.583
Adam Bareiro,Boca Juniors,DEL,10,4.528,4.582
Tomás Molina,Argentinos Juniors,DEL,23,4.467,4.329
Gregorio Rodriguez,San Lorenzo,DEL,14,4.275,4.227
Agustín Auzmendi,Gimnasia y Esgrima,DEL,27,4.078,4.188
Franco Torres,Gimnasia y Esgrima,DEL,22,3.991,4.185
Ronaldo Martinez,CA Talleres,DEL,21,4.012,4.142
Gaspar Duarte,Rosario Central,DEL,12,3.9,4.131
Walter Bou,CA Lanús,DEL,12,3.954,4.117
Gastón Verón,Argentinos Juniors,DEL,9,4.525,3.999
Michael Santos,Central Córdoba,DEL,19,3.834,3.997
Facundo Jainikoski,Argentinos Juniors,DEL,23,4.079,3.968
Alex Arce,Independiente Rivadavia,DEL,18,4.124,3.921
Marcelo Torres,Gimnasia y Esgrima,DEL,21,3.902,3.897
Iván Morales,Argentinos Juniors,DEL,17,3.688,3.84
Ignacio Peluffo,Tigre,DEL,5,2.988,3.837
Horacio Tijanovich,Central Córdoba,DEL,20,3.653,3.777
Nicolás Fernández,Club Atlético Belgrano,DEL,26,3.843,3.776
Jordy Caicedo,Huracán,DEL,25,3.771,3.772
Thomas Rodríguez,Banfield,DEL,2,3.458,3.771
Florián Monzón,Vélez Sarsfield,DEL,16,3.593,3.754
Agustín Álvarez,CA Talleres,DEL,4,4.193,3.71
Enzo Copetti,Rosario Central,DEL,24,3.79,3.68
Mauro Méndez,Banfield,DEL,16,3.815,3.667
Ignacio Sabatini,Gimnasia y Esgrima Mendoza,DEL,13,3.693,3.613
Agustín Modica,Gimnasia y Esgrima Mendoza,DEL,21,3.633,3.605
Enner Valencia,Boca Juniors,DEL,4,4.338,3.513
Allan Wlk,CA Lanús,DEL,10,4.003,3.469
Alexander Díaz,Deportivo Riestra,DEL,20,3.492,3.462
Matías Cóccaro,Newell's Old Boys,DEL,17,3.445,3.441
Norberto Briasco,Barracas Central,DEL,17,3.268,3.418
Rodrigo Sayavedra,Deportivo Riestra,DEL,5,3.646,3.409
Tiziano Perrotta,Banfield,DEL,17,3.402,3.293
Tomás Conechny,Racing Club,DEL,24,3.273,3.291
Jonathan Herrera,Sarmiento,DEL,8,3.82,3.287
Rodrigo Auzmendi,San Lorenzo,DEL,17,3.437,3.273
Jhonatan Candia,Barracas Central,DEL,23,3.084,3.215
Nicolás Cordero,Aldosivi,DEL,20,3.111,3.159
Alejo Véliz,Rosario Central,DEL,17,3.387,3.133
Junior Marabel,Sarmiento,DEL,24,3.253,3.132
