match_id,date,round_name,home_team,away_team,score_home,score_away,referee,goles_totales,resultado_local
m_2qTx0J,2026-04-18,15,Independiente,Defensa y Justicia,3.0,1.0,Sebastián Nicolás Martínez,4.0,G
m_2rfIEE,2026-03-13,10,Estudiantes,Lanús,0.0,1.0,Hernán Mastrángelo,1.0,P
m_2riSvt,2026-04-21,15,Gimnasia Mendoza,Lanús,1.0,0.0,Felipe Viola,1.0,G
m_2rJ3SG,2026-08-15,5,Belgrano,Independiente Rivadavia,2.0,0.0,Nazareno Arasa,2.0,G
m_2RNEop,2026-05-03,9,Belgrano,Sarmiento,4.0,0.0,Carlos Andrés Gariano,4.0,G
m_2sHWPe,2026-03-01,8,Newell's Old Boys,Rosario Central,0.0,2.0,Yael Falcón Pérez,2.0,P
m_2t96qK,2026-05-10,1/8,Argentinos Juniors,Lanús,2.0,0.0,Leandro Rey Hilfer,2.0,G
m_2tup6z,2026-07-31,2,Independiente,Newell's Old Boys,1.0,0.0,Pablo Echavarría,1.0,G
m_2tVeMD,2026-09-13,9,Argentinos Juniors,Gimnasia LP,1.0,1.0,Sebastián Martínez,2.0,E
m_2UjMTH,2026-09-13,9,Tigre,Rosario Central,0.0,1.0,Andrés Merlos,1.0,P
m_2uyJMX,2026-04-26,16,Atlético Tucumán,Banfield,1.0,1.0,Álvaro Carranza,2.0,E
m_2VlptL,2026-07-25,1,Estudiantes de Río Cuarto,Tigre,1.0,0.0,Bryan Gustavo Ferreyra,1.0,G
m_2VSaa1,2026-08-08,4,Tigre,River Plate,1.0,0.0,Carlos Andrés Gariano,1.0,G
m_2Vtk92,2026-08-02,3,Newell's Old Boys,Boca Juniors,2.0,2.0,Andrés Merlos,4.0,E
m_2vu8vn,2026-03-16,11,Aldosivi,Huracán,0.0,0.0,Luis Lobo Medina,0.0,E
m_2wEu9K,2026-01-23,1,San Lorenzo,Lanús,2.0,3.0,Pablo Dóvalo,5.0,P
m_2wfcAu,2026-04-14,14,Vélez Sarsfield,Central Córdoba de Santiago,1.0,0.0,Bruno Amiconi,1.0,G
m_2wlvcQ,2026-02-15,5,Gimnasia LP,Estudiantes,0.0,0.0,Yael Falcón Pérez,0.0,E
m_2WYe7B,2026-08-01,3,Gimnasia Mendoza,Unión,2.0,0.0,Juan Pablo Loustau,2.0,G
m_2xdOyu,2026-08-01,3,Estudiantes,Defensa y Justicia,3.0,0.0,Sebastián Nicolás Martínez,3.0,G
m_2XIz1k,2026-03-18,11,Gimnasia Mendoza,Estudiantes,1.0,2.0,Nazareno Arasa,3.0,P
m_2XR10W,2026-01-28,2,Atlético Tucumán,Central Córdoba de Santiago,0.0,0.0,Carlos Andrés Gariano,0.0,E
m_2yIwhJ,2026-03-16,11,Tigre,Argentinos Juniors,1.0,1.0,Edgardo Daniel Zamora,2.0,E
m_2yMdi1,2026-04-18,15,Gimnasia LP,Estudiantes de Río Cuarto,1.0,0.0,Luis Lobo Medina,1.0,G
m_2YNGA5,2026-02-24,7,San Lorenzo,Instituto,1.0,1.0,Andrés Merlos,2.0,E
m_300q44,2026-08-31,7,Defensa y Justicia,Club Atlético Platense,1.0,0.0,Juan Pablo Loustau,1.0,G
m_31Xzsf,2026-02-15,5,Boca Juniors,Club Atlético Platense,0.0,0.0,Sebastían Zunino,0.0,E
m_32VFMh,2026-03-02,8,Defensa y Justicia,Lanús,1.0,1.0,Luis Lobo Medina,2.0,E
m_32YJGL,2026-09-06,8,River Plate,Independiente Rivadavia,3.0,1.0,Nicolás Ramírez,4.0,G
m_36N9w7,2026-09-12,9,Talleres,Unión,2.0,1.0,Nazareno Arasa,3.0,G
m_37CuJS,2026-02-15,5,Atlético Tucumán,Estudiantes de Río Cuarto,4.0,0.0,Daniel Alberto Zamora,4.0,G
m_38Dq9r,2026-03-22,12,Estudiantes de Río Cuarto,River Plate,0.0,2.0,Nazareno Arasa,2.0,P
m_38l4Ru,2026-07-26,1,Atlético Tucumán,Independiente Rivadavia,0.0,0.0,Álvaro Carranza,0.0,E
m_38lyOU,2026-08-30,7,Talleres,Central Córdoba de Santiago,0.0,0.0,Nicolás Ramírez,0.0,E
m_38XAFZ,2026-08-25,6,Lanús,Argentinos Juniors,1.0,1.0,Sebastián Zunino,2.0,E
m_3A4OqU,2026-07-25,1,Club Atlético Platense,Unión,2.0,2.0,Sebastián Nicolás Martínez,4.0,E
m_3ACZQ9,2026-02-02,3,Tigre,Racing Club,3.0,1.0,Pablo Echavarría,4.0,G
m_3ar3G9,2026-05-14,1/4,River Plate,Gimnasia LP,2.0,0.0,Leandro Rey Hilfer,2.0,G
m_3B1MqQ,2026-07-24,1,Gimnasia Mendoza,Central Córdoba de Santiago,1.0,0.0,Carlos Andrés Gariano,1.0,G
m_3B5PeK,2026-03-03,8,Sarmiento,Estudiantes de Río Cuarto,1.0,0.0,Juan Pablo Loustau,1.0,G
m_3bFbbT,2026-07-23,1,Sarmiento,Argentinos Juniors,2.0,3.0,Luis Lobo Medina,5.0,P
m_3bjCVs,2026-02-01,3,Atlético Tucumán,Huracán,1.0,1.0,Felipe Viola,2.0,E
m_3bNpUp,2026-03-05,7,Lanús,Boca Juniors,0.0,3.0,Darío Herrera,3.0,P
m_3c05ZH,2026-05-09,1/8,Talleres,Belgrano,0.0,1.0,Darío Herrera,1.0,P
m_3C4rqD,2026-05-02,9,Unión,Talleres,1.0,1.0,Sebastían Zunino,2.0,E
m_3C7F2J,2026-02-16,5,Instituto,Central Córdoba de Santiago,2.0,0.0,Leandro Rey Hilfer,2.0,G
m_3crdvk,2026-05-02,9,Central Córdoba de Santiago,Boca Juniors,1.0,2.0,Nazareno Arasa,3.0,P
m_3CZXTq,2026-05-02,9,San Lorenzo,Independiente,1.0,2.0,Pablo Dóvalo,3.0,P
m_3FQmVY,2026-03-01,8,Argentinos Juniors,Barracas Central,1.0,1.0,Leandro Rey Hilfer,2.0,E
m_3g6NsD,2026-02-14,5,Banfield,Racing Club,0.0,2.0,Pablo Dóvalo,2.0,P
m_3gOUak,2026-01-26,1,Tigre,Estudiantes de Río Cuarto,2.0,0.0,Felipe Viola,2.0,G
m_3GuLGz,2026-09-05,8,Aldosivi,Banfield,3.0,1.0,Sebastián Martínez,4.0,G
m_3h25YQ,2026-05-10,1/8,Independiente Rivadavia,Unión,1.0,2.0,Luis Lobo Medina,3.0,P
m_3h9ajC,2026-07-23,1,Belgrano,Rosario Central,2.0,1.0,Sebastían Zunino,3.0,G
m_3HhWIs,2026-08-09,4,Argentinos Juniors,Racing Club,2.0,1.0,Pablo Dóvalo,3.0,G
m_3JhiqO,2026-04-27,16,Vélez Sarsfield,Unión,2.0,2.0,Sebastián Nicolás Martínez,4.0,E
m_3jKKF8,2026-02-10,4,Estudiantes de Río Cuarto,Independiente Rivadavia,0.0,1.0,Carlos Andrés Gariano,1.0,P
m_3jpi32,2026-08-23,6,Huracán,Deportivo Riestra,0.0,0.0,Facundo Tello,0.0,E
m_3JpYQD,2026-08-09,4,Instituto,Gimnasia Mendoza,1.0,0.0,Sebastían Zunino,1.0,G
m_3JTbLz,2026-04-24,16,Lanús,Central Córdoba de Santiago,0.0,0.0,Pablo Dóvalo,0.0,E
m_3kkhBc,2026-03-22,12,Boca Juniors,Instituto,2.0,0.0,Leandro Rey Hilfer,2.0,G
m_3kUgTn,2026-04-26,16,Newell's Old Boys,Instituto,1.0,1.0,Bruno Amiconi,2.0,E
m_3kXmim,2026-09-06,8,Vélez Sarsfield,Estudiantes,1.0,0.0,Pablo Dóvalo,1.0,G
m_3L4LL7,2026-01-24,1,Barracas Central,River Plate,0.0,1.0,Nicolás Ramírez,1.0,P
m_3lE8VM,2026-08-04,3,Central Córdoba de Santiago,San Lorenzo,1.0,0.0,Sebastían Zunino,1.0,G
m_3MBuhd,2026-05-03,9,Club Atlético Platense,Estudiantes,0.0,2.0,Nicolás Ramírez,2.0,P
m_3MfCw1,2026-05-03,9,Aldosivi,Independiente Rivadavia,1.0,1.0,Pablo Echavarría,2.0,E
m_3Nkc9o,2026-04-26,16,River Plate,Aldosivi,3.0,1.0,Nicolás Ramírez,4.0,G
m_3oaL0D,2026-03-12,10,Estudiantes de Río Cuarto,Belgrano,0.0,1.0,Fernando Espinoza,1.0,P
m_3Ol2iT,2026-03-21,12,Banfield,Tigre,1.0,0.0,Luis Lobo Medina,1.0,G
m_3OMXQ9,2026-02-02,3,Gimnasia LP,Aldosivi,3.0,1.0,Juan Pafundi,4.0,G
m_3Oow95,2026-08-09,4,San Lorenzo,Huracán,0.0,2.0,Darío Herrera,2.0,P
m_3p9B98,2026-08-31,7,Independiente Rivadavia,Racing Club,3.0,1.0,Álvaro Carranza,4.0,G
m_3pnBbL,2026-04-04,13,Aldosivi,Estudiantes de Río Cuarto,0.0,0.0,Facundo Raúl Tello Figueroa,0.0,E
m_3qEFO6,2026-04-04,13,Independiente,Racing Club,1.0,0.0,Leandro Rey Hilfer,1.0,G
m_3rFQnJ,2026-03-22,12,Belgrano,Racing Club,1.0,2.0,Andrés Merlos,3.0,P
m_3RgxwY,2026-04-12,14,Racing Club,River Plate,0.0,2.0,Sebastían Zunino,2.0,P
m_3sDDFG,2026-02-09,4,Estudiantes,Deportivo Riestra,1.0,0.0,Facundo Raúl Tello Figueroa,1.0,G
m_3Sp87a,2026-09-07,8,Racing Club,Atlético Tucumán,1.0,2.0,Pablo Echavarría,3.0,P
m_3spPk4,2026-08-15,5,Estudiantes,Gimnasia LP,4.0,0.0,Yael Falcón Pérez,4.0,G
m_3SxiDH,2026-03-23,12,Independiente Rivadavia,Rosario Central,2.0,0.0,Pablo Echavarría,2.0,G
m_3SYDN1,2026-04-13,14,Defensa y Justicia,Talleres,1.0,2.0,Luis Lobo Medina,3.0,P
m_3tdQH8,2026-09-11,9,Newell's Old Boys,Vélez Sarsfield,1.0,1.0,Nicolás Ramírez,2.0,E
m_3TfM13,2026-02-21,6,Gimnasia Mendoza,Gimnasia LP,0.0,1.0,Carlos Andrés Gariano,1.0,P
m_3TfyzU,2026-09-12,9,Atlético Tucumán,River Plate,1.0,2.0,Andrés Carlos Gariano,3.0,P
m_3vfFEs,2026-04-25,16,Racing Club,Barracas Central,1.0,1.0,Pablo Echavarría,2.0,E
m_3vjLig,2026-05-10,1/8,Estudiantes,Racing Club,0.0,1.0,Sebastián Nicolás Martínez,1.0,P
m_3W9CKi,2026-03-15,11,Belgrano,Talleres,0.0,0.0,Facundo Raúl Tello Figueroa,0.0,E
m_3WrGF3,2026-03-14,11,Club Atlético Platense,Vélez Sarsfield,0.0,2.0,Ariel Penel,2.0,P
