--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
952,Facundo Suárez,ar ARG,FW,Instituto,32-076,1994,1.2,1,6,3,50.0,4.86,2.43,0.17,0.33,0,0,Matches,c4232f83
953,Lucas Suárez,ar ARG,DF,Sarmiento–J,31-182,1995,14.6,1,9,4,44.4,0.61,0.27,0.11,0.25,0,0,Matches,51bc9fe2
954,Ian Subiabre,ar ARG,MF,River Plate,19-257,2007,8.4,1,18,6,33.3,2.15,0.72,0.06,0.17,0,0,Matches,f9e8a841
955,Ian Subiabre,ar ARG,FW,Tigre,19-257,2007,1.1,0,2,0,0.0,1.86,0.00,0.00,,0,0,Matches,f9e8a841
956,Tomás Sultani,ar ARG,GK,Tigre,28-085,1998,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,3db19a37
957,Nicolás Sumavil,ar ARG,GK,Platense,26-299,1999,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,9bb92a85
958,Gastón Suso,ar ARG,DF,Atlé Tucumán,35-187,1991,15.7,0,6,1,16.7,0.38,0.06,0.00,0.00,0,0,Matches,9c1b0d34
959,Enzo Taborda,ar ARG,FW,Barracas Central,21-118,2005,2.4,0,7,0,0.0,2.88,0.00,0.00,,0,0,Matches,5eff45c2
960,Nicolás Talpone,ar ARG,MF,Estudiantes–RC,30-159,1996,12.6,0,17,4,23.5,1.35,0.32,0.00,0.00,0,0,Matches,c3970918
961,Iván Tapia,ar ARG,MF,Barracas Central,27-296,1998,20.9,3,29,12,41.4,1.39,0.58,0.10,0.25,2,2,Matches,1e594292
962,Cristian Tarragona,ar ARG,FW,Unión,35-159,1991,23.1,13,61,28,45.9,2.64,1.21,0.21,0.46,2,2,Matches,a5ac5b47
963,Diego Tarzia,ar ARG,MF,Independiente,23-142,2003,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,69b553f7
964,Alejandro Tello,ar ARG,MFFW,Racing Club,18-219,2008,3.6,0,5,2,40.0,1.39,0.56,0.00,0.00,0,0,Matches,a6bf551f
965,Felipe Tempone,ar ARG,FW,Independiente,20-224,2006,2.5,0,9,6,66.7,3.60,2.40,0.00,0.00,0,0,Matches,5ceb9684
966,Renzo Tesuri,ar ARG,MF,Atlé Tucumán,30-100,1996,21.4,2,26,8,30.8,1.21,0.37,0.08,0.25,0,0,Matches,1bc771b3
967,Mauricio Tévez,ar ARG,FW,Estudiantes–RC,30-046,1996,0.4,0,2,0,0.0,4.74,0.00,0.00,,0,0,Matches,6f13789e
968,Horacio Tijanovich,ar ARG,MFFW,C. Córdoba–SdE,30-199,1996,10.7,0,13,8,61.5,1.21,0.75,0.00,0.00,0,0,Matches,1607fa35
969,Matías Tissera,ar ARG,FW,Instituto,30-009,1996,8.4,2,21,9,42.9,2.49,1.07,0.10,0.22,0,0,Matches,a919be14
970,Fernando Tobio,ar ARG,DF,Barracas Central,36-332,1989,15.3,2,7,3,42.9,0.46,0.20,0.29,0.67,0,0,Matches,4958ceac
971,Gastón Togni,ar ARG,MF,Platense,28-360,1997,2.5,0,1,0,0.0,0.40,0.00,0.00,,0,0,Matches,ba1f3f64
