--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
541,Hernán López Muñoz,ar ARG,FWMF,Arg Juniors,26-008,2000,14.3,4,41,17,41.5,2.87,1.19,0.10,0.24,0,0,Matches,2e8597d8
542,Nicolás López,uy URU,FW,Platense,32-349,1993,1.7,0,9,6,66.7,5.40,3.60,0.00,0.00,0,0,Matches,8d2ee5e2
543,Santiago López,ar ARG,DFMF,Banfield,28-285,1997,23.9,2,12,4,33.3,0.50,0.17,0.17,0.50,0,0,Matches,2240f653
544,Santiago López,ar ARG,MFFW,Tigre,20-218,2006,16.8,1,28,7,25.0,1.67,0.42,0.04,0.14,0,0,Matches,0a7d98ae
545,Franco Lorenzón,ar ARG,DF,CA San Lorenzo,25-180,2001,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,0,0,Matches,9b68edc2
546,Nahuel Losada,ar ARG,GK,Lanús,33-151,1993,23.0,0,0,0,,0.00,0.00,,,0,0,Matches,f07d5b4d
547,Augusto Lotti,it ITA,MF,Platense,30-097,1996,2.3,2,6,3,50.0,2.63,1.32,0.33,0.67,0,0,Matches,659fa937
548,Valentín Loza,ar ARG,DF,Defensa,19-215,2007,4.7,0,1,1,100.0,0.21,0.21,0.00,0.00,0,0,Matches,3675678a
549,Leandro Lozano,uy URU,DFMF,Arg Juniors,27-270,1998,10.5,0,9,2,22.2,0.86,0.19,0.00,0.00,0,0,Matches,35525fb0
550,Leandro Lozano,uy URU,DF,Boca Juniors,27-270,1998,2.9,0,2,1,50.0,0.68,0.34,0.00,0.00,0,0,Matches,35525fb0
551,Raúl Lozano,ar ARG,DFMF,Estudiantes–RC,29-013,1997,6.0,0,5,0,0.0,0.83,0.00,0.00,,0,0,Matches,1fcefc90
552,Jeremías Lucco,ar ARG,DF,Belgrano,20-279,2005,0.5,0,2,0,0.0,3.75,0.00,0.00,,0,0,Matches,50845a91
553,Jeremías Lucco,ar ARG,MF,Defensa,20-279,2005,2.0,0,5,2,40.0,2.45,0.98,0.00,0.00,0,0,Matches,50845a91
554,Esteban Lucero,ar ARG,DFMF,Defensa,21-048,2005,7.1,0,2,0,0.0,0.28,0.00,0.00,,0,0,Matches,307002fa
555,Valentín Lucero,ar ARG,MF,River Plate,20-167,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,d08b4250
556,Martín Luciano,ar ARG,DFMF,Newell's,22-281,2003,5.6,0,2,1,50.0,0.36,0.18,0.00,0.00,0,0,Matches,2c29ddcc
557,Juan Ludueña,ar ARG,DF,Unión,23-216,2003,22.7,1,12,3,25.0,0.53,0.13,0.08,0.33,0,0,Matches,6bee1610
558,Juan Luis Alfaro,ar ARG,MFDF,Banfield,26-334,1999,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,Matches,eacbb10d
559,José Luis Palomino,ar ARG,DF,Talleres–C,36-253,1990,5.8,0,6,1,16.7,1.03,0.17,0.00,0.00,0,0,Matches,921f6058
560,Alex Luna,ar ARG,MFFW,Instituto,22-168,2004,20.8,6,75,30,40.0,3.61,1.44,0.08,0.20,2,3,Matches,cf85ad26
561,Mauro Luna Diale,ar ARG,FWMF,Platense,27-142,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,19d9859a
562,Mauro Luna Diale,ar ARG,MF,Unión,27-142,1999,2.9,0,2,1,50.0,0.69,0.34,0.00,0.00,0,0,Matches,19d9859a
563,Ramiro Macagno,ar ARG,GK,Ind. Rivadavia,29-181,1997,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,64293bed
564,Alexander Machado,uy URU,FW,Banfield,24-110,2002,4.6,1,10,4,40.0,2.19,0.88,0.10,0.25,0,0,Matches,9e1943d7
565,Imanol Machuca,my MAS,MF,Vélez Sarsfield,26-243,2000,1.7,0,1,0,0.0,0.58,0.00,0.00,,0,0,Matches,37747484
566,Alejandro Maciel,ar ARG,DF,C. Córdoba–SdE,29-146,1997,23.0,1,10,3,30.0,0.43,0.13,0.10,0.33,0,0,Matches,1522a5cc
567,Gonzalo Maffini,ar ARG,DF,Estudiantes–RC,33-241,1993,20.0,0,9,2,22.2,0.45,0.10,0.00,0.00,0,0,Matches,f101b79a
568,Lisandro Magallán,ar ARG,DF,Vélez Sarsfield,32-353,1993,18.6,0,2,0,0.0,0.11,0.00,0.00,,0,0,Matches,01a49bd2
569,Pablo Magnín,ar ARG,FW,Sarmiento–J,36-143,1990,4.1,1,4,2,50.0,0.97,0.49,0.25,0.50,0,0,Matches,d51af27a
570,Alexandro Maidana,py PAR,DFMF,Talleres–C,21-051,2005,9.7,2,8,3,37.5,0.82,0.31,0.25,0.67,0,0,Matches,4d0d5020
571,Guido Mainero,ar ARG,MF,Platense,31-176,1995,18.5,2,21,9,42.9,1.13,0.49,0.10,0.22,0,0,Matches,c7f7afc5
572,Renzo Malanca,ar ARG,DF,Banfield,23-132,2003,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,0,0,Matches,cc1afef7
573,Víctor Malcorra,ar ARG,MF,Independiente,39-053,1987,12.6,1,28,7,25.0,2.23,0.56,0.04,0.14,0,0,Matches,90a0bb3b
574,Víctor Malcorra,ar ARG,MF,Unión,39-053,1987,5.6,1,14,2,14.3,2.51,0.36,0.07,0.50,0,0,Matches,90a0bb3b
575,Alexis Maldonado,ar ARG,DF,Belgrano,29-013,1997,16.1,0,4,1,25.0,0.25,0.06,0.00,0.00,0,0,Matches,323d23e6
576,Facundo Mallo,uy URU,DF,Rosario Central,31-242,1995,9.1,0,2,0,0.0,0.22,0.00,0.00,,0,0,Matches,d3e5285f
577,Emanuel Mammana,ar ARG,DF,Vélez Sarsfield,30-217,1996,18.2,0,3,1,33.3,0.16,0.05,0.00,0.00,0,0,Matches,7e927fda
