,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
595,Alejandro Martínez,ar ARG,MFFW,Huracán,29-152,1997,11,5,395,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26f76d7b
596,Damián Martínez,ar ARG,MFDF,Barracas Central,36-227,1990,13,10,712,7.9,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,3fd3bf8a
597,Enzo Martínez,uy URU,DF,Gimnasia–LP,28-139,1998,23,23,2070,23.0,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,88473525
598,Fernando Martínez,ar ARG,MFDF,C. Córdoba–SdE,26-050,2000,23,15,1369,15.2,1,1,2,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,Matches,feda6a9c
599,Mateo Martínez,ar ARG,DF,Racing Club,18-141,2008,3,3,253,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f2ed81ac
600,Mauricio Martínez,ar ARG,MF,Sarmiento–J,33-207,1993,20,14,1411,15.7,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches,6027a024
601,Pity Martínez,ar ARG,MFFW,Tigre,33-094,1993,15,7,509,5.7,3,1,4,3,0,0,1,0,0.53,0.18,0.71,0.53,0.71,Matches,cd00ceea
602,Lucas Martínez Quarta,ar ARG,DF,River Plate,30-128,1996,24,24,2147,23.9,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,3ec3c1c9
603,Ronaldo Martínez,py PAR,FW,Vélez Sarsfield,30-143,1996,2,2,152,1.7,2,0,2,2,0,0,0,0,1.18,0.00,1.18,1.18,1.18,Matches,278f93a4
604,Ronaldo Martínez,py PAR,FW,Talleres–C,30-143,1996,21,19,1456,16.2,4,1,5,4,0,0,0,0,0.25,0.06,0.31,0.25,0.31,Matches,278f93a4
605,Rubén Martínez,ar ARG,MF,Independiente,22-093,2004,5,0,95,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6b084305
606,Thiago Martínez,ar ARG,FW,Defensa,19-056,2007,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d0fd2d5
607,Ramiro Martino,ar ARG,,Independiente,20-237,2006,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c308048
608,Gastón Martirena,uy URU,MFDF,Racing Club,26-253,2000,6,4,337,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d4eefca
609,Thomás de Martis,ar ARG,FW,Lanús,18-081,2008,5,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02812c91
610,Agustín Massaccesi,ar ARG,DF,Instituto,23-363,2002,9,4,441,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6f7b13ae
611,Diego Mastrángelo,ar ARG,DF,Gimnasia–LP,23-312,2002,5,0,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4c73909e
612,Diego Matías Rodríguez,ar ARG,GK,Banfield,37-082,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19f4d2c0
613,Jerónimo Mattar,ar ARG,MF,Newell's,18-039,2008,20,9,1027,11.4,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,25879068
614,Julián Mavilla,ar ARG,MF,Sarmiento–J,26-141,2000,8,7,545,6.1,3,1,4,3,0,0,1,0,0.50,0.17,0.66,0.50,0.66,Matches,b7512abc
615,Julián Mavilla,ar ARG,MF,Belgrano,26-141,2000,6,1,268,3.0,1,0,1,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,b7512abc
616,Augusto Max,ar ARG,MF,Gimnasia–LP,34-036,1992,19,16,1374,15.3,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,5ae7b5dc
617,Walter Mazzantti,ar ARG,MFFW,Newell's,30-010,1996,17,16,1355,15.1,2,2,4,2,0,0,1,0,0.13,0.13,0.27,0.13,0.27,Matches,55ce9bfd
618,Walter Mazzantti,ar ARG,MF,Independiente,30-010,1996,6,1,140,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,55ce9bfd
619,Agustín Medina,,MF,Lanús,,,19,11,879,9.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,215cb5d2
620,Cristian Medina,ar ARG,MF,Estudiantes–LP,24-106,2002,5,5,443,4.9,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches,5a0d551b
621,Federico Medina,ar ARG,MFFW,Banfield,22-211,2004,6,3,283,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,215df1e0
622,Sebastián Medina,ar ARG,MF,Tigre,26-184,2000,12,4,378,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd35fdf5
623,Matías Melluso,ar ARG,DF,Gimnasia–LP,28-098,1998,3,0,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57afb75f
624,Armando Méndez,uy URU,DF,Newell's,30-168,1996,14,14,1173,13.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,5a39b971
625,Mauro Méndez,uy URU,FW,Banfield,27-241,1999,16,16,1372,15.2,6,3,9,6,0,0,3,0,0.39,0.20,0.59,0.39,0.59,Matches,12e579fa
626,Mauro Méndez,uy URU,FW,Tigre,27-241,1999,5,4,344,3.8,1,0,1,1,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches,12e579fa
627,Mateo Mendía,ar ARG,DF,Platense,22-224,2004,9,9,810,9.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,881aa581
628,Lucas Menossi,ar ARG,MF,Unión,34-066,1992,12,9,838,9.3,4,1,5,4,0,0,2,0,0.43,0.11,0.54,0.43,0.54,Matches,428cb878
629,Miguel Merentiel,uy URU,FW,Boca Juniors,30-203,1996,20,15,1250,13.9,7,2,9,7,0,0,1,0,0.50,0.14,0.65,0.50,0.65,Matches,307224a2
630,Nicolás Meriano,ar ARG,DF,Banfield,25-310,2000,21,18,1564,17.4,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches,9b0cafc4
631,Bautista Merlini,ar ARG,MF,Platense,31-073,1995,20,6,741,8.2,2,1,3,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches,6a526db6
632,Jeremias Merlo,,MF,Gimnasia–LP,,,7,4,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f236096a
633,Eric Meza,ar ARG,DF,Estudiantes–LP,27-160,1999,20,18,1449,16.1,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,47171e2c
634,Juan Meza,ar ARG,MF,River Plate,18-185,2008,7,1,195,2.2,0,2,2,0,0,0,2,0,0.00,0.92,0.92,0.00,0.92,Matches,05df2936
635,Maximiliano Meza,ar ARG,MF,River Plate,33-274,1992,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5e15e0a
636,Maximiliano Meza,ar ARG,MF,Independiente,33-274,1992,9,2,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5e15e0a
637,Sebastián Meza,ar ARG,GK,Huracán,26-185,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a3f3cf7a
638,Juan Miguel Arrayago,ar ARG,DF,Independiente,17-302,2008,5,5,450,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,f9ede711
639,Matko Miljevic,us USA,MF,Racing Club,25-129,2001,21,16,1159,12.9,2,1,3,2,0,0,6,1,0.16,0.08,0.23,0.16,0.23,Matches,74b76abc
640,Lautaro Millán,cl CHI,MF,Independiente,21-030,2005,20,12,1034,11.5,3,1,4,3,0,0,4,0,0.26,0.09,0.35,0.26,0.35,Matches,58d81550
641,Dardo Miloc,ar ARG,MF,Barracas Central,35-334,1990,23,17,1647,18.3,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,15bf7de8
642,Franco Minerva,ar ARG,MF,Platense,20-107,2006,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dde3e2aa
643,Facundo Miño,ar ARG,DF,Dep. Riestra,26-334,1999,22,17,1550,17.2,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,ee2bdcb7
644,Marcelo Miño,ar ARG,GK,Barracas Central,29-025,1997,20,20,1789,19.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3372ab71
645,Ignacio Miramon,ar ARG,MF,Gimnasia–LP,23-095,2003,20,18,1519,16.9,1,0,1,1,0,0,9,0,0.06,0.00,0.06,0.06,0.06,Matches,e43a4083
646,Juan Miritello,ar ARG,FW,Defensa,27-219,1999,6,5,389,4.3,2,0,2,2,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches,be06718c
647,Agustín Módica,ar ARG,FW,Gimnasia–M,23-246,2003,21,18,1456,16.2,12,0,12,10,2,2,6,0,0.74,0.00,0.74,0.62,0.62,Matches,eb0aabdd
648,Tomás Molina,ar ARG,FW,Arg Juniors,31-156,1995,20,17,1530,17.0,4,3,7,4,0,1,4,0,0.24,0.18,0.41,0.24,0.41,Matches,d3134e28
649,Manuel Mónaco,ar ARG,MF,Sarmiento–J,24-127,2002,1,0,26,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e3c45b18
650,Diego Mondino,ar ARG,DF,Gimnasia–M,31-305,1994,18,16,1418,15.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,7c69e3c8
651,Pablo Monje,ar ARG,MF,Dep. Riestra,29-221,1997,22,16,1350,15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37077a8b
652,Lautaro Montenegro,ar ARG,DF,CA San Lorenzo,21-201,2005,5,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3d72b784
653,Gonzalo Montiel,ar ARG,DF,River Plate,29-257,1997,22,22,1917,21.3,6,2,8,3,3,3,4,0,0.28,0.09,0.38,0.14,0.23,Matches,374d5158
654,Santiago Montiel,ar ARG,MFFW,Independiente,25-297,2000,20,17,1396,15.5,3,4,7,3,0,0,4,1,0.19,0.26,0.45,0.19,0.45,Matches,8f2ac304
655,Florián Monzón,ar ARG,FW,Vélez Sarsfield,25-255,2001,15,14,1130,12.6,6,0,6,5,1,1,3,0,0.48,0.00,0.48,0.40,0.40,Matches,31d67d65
656,Lautaro Mora,ar ARG,MF,Huracán,20-202,2006,10,2,229,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7d270ea5
657,Agustín Morales,ar ARG,FW,Estudiantes–RC,27-213,1999,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,20c48446
658,Iván Morales Bravo,cl CHI,FW,Independiente,27-048,1999,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3468cf5d
659,Iván Morales Bravo,cl CHI,FW,Arg Juniors,27-048,1999,14,10,816,9.1,2,1,3,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,Matches,3468cf5d
660,Gonzalo Morales,ar ARG,FW,Barracas Central,23-195,2003,12,7,618,6.9,2,0,2,2,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,125e771a
661,Lautaro Morales,ar ARG,GK,Tigre,26-273,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,119a4577
662,Leonardo Morales,ar ARG,DF,Belgrano,35-157,1991,23,23,1900,21.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,19cf6f7c
663,Matías Morello,ar ARG,MFDF,Aldosivi,25-215,2001,4,2,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b9be93e7
664,Aníbal Moreno,ar ARG,MF,River Plate,27-125,1999,20,20,1749,19.4,0,2,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,0c0f1cd3
665,Marcelino Moreno,ar ARG,MF,Lanús,32-082,1994,8,5,530,5.9,3,1,4,3,0,0,0,0,0.51,0.17,0.68,0.51,0.68,Matches,058c938c
666,Yeison Moreno Murillo,co COL,FWMF,Estudiantes–RC,29-160,1997,6,5,302,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37baed03
667,Neyder Moreno,co COL,MF,Banfield,29-218,1997,9,2,244,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,7fdcf661
668,Valentín Moreno,ar ARG,DF,Tigre,23-208,2003,16,16,1333,14.8,0,1,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches,eb55b9f5
669,Stéfano Moreyra,ar ARG,MF,Ind. Rivadavia,24-361,2001,7,1,134,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c24da22e
670,Nicolás Morgantini,ar ARG,DF,Lanús,32-004,1994,4,2,232,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,242d37f3
671,Leonel Mosevich,ar ARG,DF,Instituto,29-223,1997,25,25,2250,25.0,2,0,2,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches,c072476b
672,Joaquín Mosqueira,ar ARG,MF,Tigre,21-318,2004,6,1,95,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,58754597
673,Joaquín Mosqueira,ar ARG,MF,Unión,21-318,2004,5,4,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches,58754597
674,Jherson Mosquera,co COL,DF,Newell's,26-362,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5da52e88
675,Santiago Moya,ar ARG,DF,Aldosivi,23-094,2003,9,8,735,8.2,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,0de1d20d
676,Franco Moyano,ar ARG,MF,Instituto,29-002,1997,3,2,129,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5d00dab4
677,Santiago Moyano,ar ARG,DF,C. Córdoba–SdE,28-357,1997,23,21,1656,18.4,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,540d11f2
678,Ezequiel Muñoz,ar ARG,DF,Gimnasia–M,35-342,1990,22,22,1924,21.4,2,0,2,2,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,e4b8c5b6
679,Fernando Muslera,uy URU,GK,Estudiantes–LP,40-091,1986,17,17,1485,16.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a2abe631
680,Agustín Nadruz,uy URU,MF,Sarmiento–J,30-078,1996,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,973e4321
681,Facundo Kalinger di Napoli,ar ARG,MF,Huracán,21-228,2005,13,6,633,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,e4814c20
682,Juan Nardoni,ar ARG,MF,Racing Club,24-063,2002,2,2,126,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e91c3cc9
683,Tomás Nasif,ar ARG,FW,Platense,22-256,2004,12,4,526,5.8,2,1,3,2,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches,a8e4d897
684,Federico Navarro,ar ARG,MF,Rosario Central,26-190,2000,19,3,504,5.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,61c628be
685,Ezequiel Naya,ar ARG,FW,C. Córdoba–SdE,25-042,2001,18,13,1001,11.1,2,0,2,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,0a5103bd
686,Hugo Nervo,ar ARG,DF,Huracán,35-252,1991,15,9,872,9.7,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,6afd25e6
687,Gabriel Neves,uy URU,MF,Estudiantes–LP,29-035,1997,17,9,796,8.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2a03fb5f
688,Franco Nicola,uy URU,MFFW,Atlé Tucumán,24-150,2002,23,19,1525,16.9,2,1,3,2,0,0,1,1,0.12,0.06,0.18,0.12,0.18,Matches,cddd1e30
689,Aaron Nicolás Molinas,ar ARG,MF,Defensa,26-044,2000,15,15,1348,15.0,3,4,7,0,3,3,3,0,0.20,0.27,0.47,0.00,0.27,Matches,cc704b9f
690,Fabián Noguera,ar ARG,DF,Newell's,33-179,1993,2,0,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,20352705
691,Santiago Núñez,ar ARG,DF,Estudiantes–LP,26-139,2000,17,14,1248,13.9,1,1,2,1,0,0,6,1,0.07,0.07,0.14,0.07,0.14,Matches,da0fc816
692,Walter Núñez,ar ARG,MFFW,Newell's,23-214,2003,18,11,887,9.9,1,1,2,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,Matches,4511b2da
693,Tomás O'Connor,ar ARG,MF,Gimnasia–M,22-174,2004,9,4,388,4.3,0,2,2,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,Matches,98de4568
694,Gabriel Obredor,ar ARG,FW,Dep. Riestra,29-252,1997,18,3,617,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2ce68c10
695,Álvaro Ocampo,ar ARG,DF,Belgrano,22-065,2004,7,2,296,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a86da4e7
696,Pedro Ojeda,ar ARG,MF,Huracán,28-314,1997,17,15,1266,14.1,0,2,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,ab874ea3
697,Sergio Ojeda,ar ARG,DF,Estudiantes–RC,34-254,1992,15,15,1293,14.4,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,8c004d92
698,Tomás Olmos,ar ARG,DF,Estudiantes–RC,21-236,2005,3,2,164,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3075d81a
699,Nicolás Omar Goitea,ar ARG,DF,Newell's,29-096,1997,12,11,1035,11.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b1665f1b
700,Renzo Orihuela,uy URU,DF,Sarmiento–J,25-164,2001,15,14,1305,14.5,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,b7f36529
701,Nicolás Oróz,ar ARG,MF,Arg Juniors,32-167,1994,24,22,1758,19.5,2,3,5,1,1,1,2,0,0.10,0.15,0.26,0.05,0.20,Matches,c4263233
702,Franco Orozco,ar ARG,FWMF,Newell's,24-249,2002,3,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42d44ed9
703,Francisco Ortega,ar ARG,DF,River Plate,27-180,1999,5,3,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54d608cc
704,Martín Ortega,ar ARG,DF,Newell's,27-026,1999,10,7,710,7.9,0,2,2,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches,68acce47
705,Diego Ortegoza,cl CHI,MF,Racing Club,29-149,1997,9,7,561,6.2,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,265893e5
706,Diego Ortegoza,cl CHI,MF,Talleres–C,29-149,1997,14,10,831,9.2,0,2,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,265893e5
707,Kevin Ortíz,ar ARG,MF,Atlé Tucumán,25-362,2000,15,9,844,9.4,0,1,1,0,0,0,2,1,0.00,0.11,0.11,0.00,0.11,Matches,1ed313b7
708,Lautaro Ortiz,ar ARG,MF,Talleres–C,18-242,2008,3,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,79c48629
709,Marcos Ortiz,ar ARG,MF,Belgrano,17-256,2009,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,88fb474b
710,Tomás Ortiz,ar ARG,MF,Gimnasia–M,26-189,2000,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e80ed3fa
711,Alejo Osella,ar ARG,DFMF,Ind. Rivadavia,25-350,2000,19,16,1273,14.1,4,0,4,4,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,783586ee
712,Abiel Osorio,ar ARG,FW,Defensa,24-094,2002,4,3,185,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d69f8f3
713,Tobías Ostchega,ar ARG,DF,Estudiantes–RC,28-021,1998,11,9,799,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,759b7576
714,Nicolás Otamendi,ar ARG,DF,River Plate,38-215,1988,9,9,810,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0d267745
715,Ignacio Ovando,ar ARG,DF,Rosario Central,19-078,2007,20,20,1755,19.5,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,7196ad22
716,Alfio Oviedo,py PAR,FW,Tigre,30-271,1995,13,3,387,4.3,1,0,1,1,0,1,3,0,0.23,0.00,0.23,0.23,0.23,Matches,2fafa9ad
717,Brandon Oviedo,ar ARG,DFMF,Banfield,21-233,2005,8,8,693,7.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8cc14f97
718,Fabricio Oviedo,ar ARG,FW,Rosario Central,22-215,2004,2,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a39f13b
719,Kendry Páez,ec ECU,MFFW,River Plate,19-134,2007,8,3,317,3.5,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,f3bb9f59
720,Ignacio Pais,ar ARG,MF,Banfield,26-108,2000,19,16,1306,14.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0720e2ea
721,Carlos Palacios,cl CHI,MF,Boca Juniors,26-057,2000,2,1,122,1.4,0,1,1,0,0,0,1,0,0.00,0.74,0.74,0.00,0.74,Matches,c8e47776
722,Julián Palacios,ar ARG,MF,Unión,27-223,1999,22,22,1750,19.4,3,6,9,3,0,0,5,1,0.15,0.31,0.46,0.15,0.46,Matches,37dfd961
723,Tiago Palacios,uy URU,MFFW,Estudiantes–LP,25-171,2001,18,11,1056,11.7,4,2,6,4,0,0,4,0,0.34,0.17,0.51,0.34,0.51,Matches,6d3f6a31
724,Tomás Palacios,ar ARG,DF,Estudiantes–LP,23-140,2003,17,16,1448,16.1,1,0,1,1,0,0,5,1,0.06,0.00,0.06,0.06,0.06,Matches,404101f9
725,Josias Palais,ar ARG,MFFW,Independiente,20-157,2006,5,3,243,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b22d0e90
726,Agustín Palavecino,ar ARG,MFFW,Aldosivi,23-190,2003,18,11,999,11.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,bfedc251
727,Lucas Palavecino,ar ARG,MF,Banfield,22-332,2003,3,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d1130a83
728,Nicolás Palavecino,ar ARG,FW,Unión,23-170,2003,7,1,202,2.2,0,1,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches,b62ca703
729,Máximo Palazzo,ar ARG,DF,Huracán,21-101,2005,15,14,1227,13.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,90b5bc97
730,Manuel Panaro,ar ARG,MFFW,Gimnasia–LP,23-261,2002,18,10,858,9.5,1,1,2,1,0,0,3,1,0.10,0.10,0.21,0.10,0.21,Matches,d2a01eb2
731,Franco Pardo,ar ARG,DF,Racing Club,29-163,1997,12,7,742,8.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,de16bb25
732,Franco Paredes,ar ARG,DF,Arg Juniors,27-181,1999,3,2,127,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9a091625
733,Leandro Paredes,ar ARG,MF,Boca Juniors,32-078,1994,19,14,1316,14.6,2,3,5,0,2,2,7,0,0.14,0.21,0.34,0.00,0.21,Matches,dff153a4
734,Luciano Paredes,ar ARG,DFMF,Gimnasia–M,24-006,2002,21,16,1412,15.7,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,d8a6a341
735,Nicolás Pasquini,ar ARG,DFMF,Sarmiento–J,35-256,1991,7,6,528,5.9,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,7e342e54
736,Lucas Passerini,ar ARG,FW,Belgrano,32-061,1994,20,7,870,9.7,2,5,7,1,1,3,1,0,0.21,0.52,0.72,0.10,0.62,Matches,38fb9199
737,Gerónimo Patritti,ar ARG,DF,Gimnasia–M,23-244,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f98c545
738,Ramiro Paunero,ar ARG,DF,Atlé Tucumán,21-185,2005,2,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da01b2cc
739,Cristian Paz,ar ARG,DF,Dep. Riestra,31-144,1995,24,24,2142,23.8,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,55d7093b
740,Nehuén Paz,ar ARG,DF,Huracán,33-140,1993,4,4,293,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,42b1a58a
741,Nicolás Paz,ar ARG,DF,Unión,23-334,2002,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0af517c2
742,Matías Pellegrini,ar ARG,MF,Vélez Sarsfield,26-127,2000,19,17,1366,15.2,3,4,7,3,0,0,7,0,0.20,0.26,0.46,0.20,0.46,Matches,b59f0060
743,Marco Pellegrino,ar ARG,DF,Boca Juniors,24-059,2002,10,9,787,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,18950a80
744,Ignacio Peluffo,,DF,Tigre,,,5,1,127,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d9f256c1
745,Felipe Peña,ar ARG,MF,Lanús,25-163,2001,24,14,1330,14.8,3,0,3,3,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,1e72d119
746,Taiel Peralta,ar ARG,MFFW,Huracán,17-359,2008,15,7,553,6.1,2,1,3,2,0,0,1,1,0.33,0.16,0.49,0.33,0.49,Matches,31db1f95
