,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
129,Nicolás Bolcato,ar ARG,GK,Ind. Rivadavia,22-132,2004,23,22,2057,22.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4ada7df5
130,Cayetano Bolzán,ar ARG,FW,Gimnasia–LP,20-185,2006,3,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af9d796b
131,Ezequiel Bonifacio,ar ARG,DFMF,Ind. Rivadavia,32-129,1994,13,7,620,6.9,0,1,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,0b6ff48b
132,Matías Borgogno,ar ARG,GK,Platense,28-025,1998,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0bad403e
133,Matías Borgogno,ar ARG,GK,Defensa,28-025,1998,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0bad403e
134,Rafael Borré,co COL,FW,River Plate,31-000,1995,8,2,277,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c68da769
135,Benjamín Bosch,ar ARG,FW,Platense,21-092,2005,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a16bf7a
136,Rubén Botta,ar ARG,MFFW,Defensa,36-227,1990,13,13,849,9.4,1,1,2,1,0,1,3,1,0.11,0.11,0.21,0.11,0.21,Matches,b11fd1e7
137,Tomás Bottari,ar ARG,MF,Ind. Rivadavia,25-142,2001,19,17,1406,15.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,145c1af1
138,Walter Bou,ar ARG,FWMF,Lanús,33-021,1993,11,8,598,6.6,2,0,2,1,1,1,2,0,0.30,0.00,0.30,0.15,0.15,Matches,b5143c97
139,Mariano Bracamonte,ar ARG,DF,Dep. Riestra,27-144,1999,14,12,1059,11.8,1,1,2,1,0,0,5,0,0.08,0.08,0.17,0.08,0.17,Matches,9687232d
140,Malcom Braida,ar ARG,DF,Boca Juniors,29-121,1997,6,5,443,4.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7cc9bb66
141,Agustin Bravo,ar ARG,DF,Instituto,25-127,2001,2,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6159b1e9
142,Claudio Bravo,ar ARG,DF,Arg Juniors,29-186,1997,8,2,300,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5619c5e8
